sentence_id	sentence	locale	reason
28dfd40fb7fba2e76209710122617f9f57a165a1be12a8bbf4f3903197a981ca	Sur Farrugia, x'inhi d-diffikultà biex tgħidilna.	mt	grammar-or-spelling
319493617ef8c7fb8e2755940a799f96e2d8cc731ed31f97b97fe96d8b37947d	Dawn it-tnejn kienu jinsabu fit-Triq jitkellmu meta ħadet il-bomba.	mt	Ma jhallikx tirrekordja lilek innifsek
1877c24ec4e30ebcf894c54374d1b812e9a73836eaa3f7390e2f1780e7b9c2b6	Kienet logħba bilanċjata ħafna u ż-żewġ timijiet kienu attenti ferm għal xulxin.	mt	qed nircievi dan il-messagg Ir-recording kien silenzjuz wisq.  Il-mic tieghi hu enabled.
17f67f91aea881e57477f0235059b2c3848b77fbd430df50e8fb73078532a09e	Imbagħad noqogħdu nisimgħu r-retorika li dan il-Gvern " delivers "!	mt	Ghaliex kull darba li nipprova nirrekordja jghidli li s-sound hua baxx wisq meta l-mic tieghi qieghed full on?  Hemm xi fault fil-website?
0f19cfc83c5311bdf8a05fec00d8f56914b7bbd4bc87ca49d0b60671be3d1d39	Ma kontx aware tal-korrispondenza?	mt	grammar-or-spelling
23b0cd51353afaedebe85a877e929d519f01701dcbbd0633384b6087d6110b5b	Ir-raġuni hija li qed ikollna kambjament sostanzjali fl-anzjanità tagħna.	mt	Very italianized Maltese
36eeab49e5196f8d0ecc03dfa3bbd334823b73141ac37d2356813b214428857a	Din il-gwerra ċivili ġabet magħha sogri li qatt ma rajna bħalhom.	mt	grammar-or-spelling
5f201cd64ce05c4b3e410ae57792d8a2748aa43b4c83a000a2209c58ba0fe3b1	Hu wkoll l-awtur ta' numru ta' kotba.	mt	grammar-or-spelling
6dc4247c788cd5f737c38d01e34978a45ffd5b85aeb3331622e1f36915765552	Inqbadt fil-maltemp?	mt	offensive-language
6dc4247c788cd5f737c38d01e34978a45ffd5b85aeb3331622e1f36915765552	Inqbadt fil-maltemp?	mt	different-language
